investigator_id,investigator_name,rank,unit,discipline_count
249,"CORONA, JOSEPH",,,0
250,"CORRAL, MAYDA",,,0
251,"COSEY, ROBERT",INVESTIGATOR 3 IPRA,113,1
252,"COSTELLO, ANDREW",LIEUTENANT OF POLICE,212,0
253,"COSTELLO, MICHAEL",,,0
254,"COSTELLO, ROBERT",,,1
255,"COTTER, STACEY",,,0
256,"COTTER, THOMAS",,,2
257,"COUGHLIN, JOHN",,,0
258,"COUGHLIN, MICHAEL",SERGEANT OF POLICE,009,0
259,"COURTNEY, BRIAN",,,0
260,"COVELLO, FRANK",SERGEANT OF POLICE,008,0
261,"COWIN, RAYMOND",,,0
262,"COZZO, SAM",,,0
263,"CRADICK, JAMES",,,1
264,"CRAIG, ROBERT",,,0
265,"CRAWFORD, CARRIS",SERGEANT OF POLICE,001,0
266,"CRAWFORD, JAMES",,,0
267,"CRAWFORD, PATRICK",,,0
268,"CREETH, ROBERT",SERGEANT OF POLICE,019,0
269,"CRONIN, GODFREY",LIEUTENANT OF POLICE,018,0
270,"CROSSLEY, KIRKLAND",SERGEANT OF POLICE,002,1
271,"CRUZ, CONRADO",,,0
272,"CRUZ, MICHAEL",POLICE OFFICER,121,3
273,"CRUZ, RALPH",,,0
274,"CUMMINS, MICHAEL",,,0
275,"CURETON, PAMELA",,,3
276,"CURRY, JOHN",,,0
277,"CURRY, MEGAN",,,0
278,"CUSACK, KELLY",SERGEANT OF POLICE,003,0
279,"CYHANIUK, MARY",,,0
280,"CYZE, ROBERT",,,0
281,"CZABLEWSKI, STEPHEN",SERGEANT OF POLICE,019,0
282,"DAKURAS, ANDREW",,,0
283,"DALY, BRIAN",CAPTAIN OF POLICE,610,0
284,"DALY, CHARLES",,,0
285,"DANIEL, HEATHER",,,0
286,"DANIELS, DONALD",SERGEANT OF POLICE,017,0
287,"DANIELSON, LOUIS",,,0
288,"DARAY, LOUIS",,,0
289,"DARI, SAMUEL",LIEUTENANT OF POLICE,011,1
290,"DARLIN, RANDALL",,,0
291,"DAUN, SHERRY",,,9
292,"DAVEY, THOMAS",SERGEANT OF POLICE,005,0
293,"DAVIES, TRACY",,,0
294,"DAVIS, CHRISTINE",,,0
295,"DAVIS, ERROLL",,,2
296,"DAVIS, GLENN",,,0
297,"DAVIS, LAKEISHA",INVESTIGATOR 2 IPRA,113,0
298,"DAVIS, LORENZO",,,0
299,"DAVIS, MONICA",,,0
300,"DAVIS, THERESA",INVESTIGATOR I IPRA,113,3
301,"DAVY, CHRISTOPH",,,0
302,"DE FRANCO, VINCENT",SERGEANT OF POLICE,019,1
303,"DE LA TORRE, CHARLOTTE",,,0
304,"DE LA TORRE, MIGUEL",,,0
305,"DE MATO, DAVID",,,0
306,"DE VITO, DON",SERGEANT OF POLICE,121,5
307,"DE VRIES, DUANE",,,0
308,"DE YOUNG, DEBRA",,,0
309,"DEAN, BRUCE",SUPERVISING INV IPRA,113,0
310,"DEANE, JOHN",LIEUTENANT OF POLICE,022,0
311,"DEDORE, JACK",,,0
312,"DEDORE, SCOTT",,,0
313,"DEENIHAN, BRENDAN",COMMANDER,121,0
314,"DEJA, DAVID",,,0
315,"DEL PILAR, JOSEPH",,,0
316,"DEL VALLE, NOEL",,,2
317,"DELAFONT, JAMES",SERGEANT OF POLICE,024,2
318,"DELANEY, ANDREA",,,0
319,"DELANEY, RICHARD",INVESTIGATOR 2 IPRA,113,1
320,"DELAO, EDWARD",,,0
321,"DELGADO, JOHN",SERGEANT OF POLICE,024,0
322,"DELGADO, XAVIER",SERGEANT OF POLICE,001,0
323,"DELPILAR, DAVID",,,0
324,"DENHAM, LEVESTER",LIEUTENANT OF POLICE,003,0
325,"DESMOND, JAMES",SERGEANT OF POLICE,411,0
326,"DEVAN, BRIAN",,,0
327,"DEVEREUX, GEORGE",,,0
328,"DEVINE, PETER",,,0
329,"DI PINTO, JOSEPH",SERGEANT OF POLICE,015,0
330,"DIAZ, ERIC",SERGEANT OF POLICE,189,0
331,"DICKERSON JR, SAMUEL",,,0
332,"DICKEY, OLIVE",SERGEANT OF POLICE,025,0
333,"DICKMAN, JOSEPH",SERGEANT OF POLICE,121,8
334,"DIGGS, GAYLE",SERGEANT OF POLICE,189,0
335,"DINEEN, JOHN",,,0
336,"DINEEN, MICHAEL",,,0
337,"DINEEN, TIMOTHY",,,0
338,"DIXON JR, MILTON",,,0
339,"DOBEK, MIROSLAW",,,0
340,"DOERGE, ANDREW",,,0
341,"DOHERTY JR, JOHN",,,0
342,"DOHERTY, RAYMOND",,,0
343,"DOHERTY, RYAN",SERGEANT OF POLICE,022,0
344,"DOLAN, MICHAEL",SERGEANT OF POLICE,004,0
345,"DOLAN, ROBERT",SERGEANT OF POLICE,015,0
346,"DOMBROWSKI, ANTHONY",,,3
347,"DONAHUE, PATRICK",,,1
348,"DONEGAN, THOMAS",,,0
349,"DORAU, LESZEK",,,0
350,"DORRIS, JOHN",SERGEANT OF POLICE,211,0
351,"DORSEY, MARVIN",,,0
352,"DOSS, DARREN",LIEUTENANT OF POLICE,003,0
353,"DOUGHERTY, MICHAEL",,,3
354,"DOUGHERTY, PHILIP",,,2
355,"DOUGLAS SR, VARRICK",LIEUTENANT OF POLICE,006,0
356,"DOWD, DONNA",LIEUTENANT OF POLICE,376,2
357,"DOWD, JOHN",LIEUTENANT OF POLICE,008,0
358,"DOWLING, JENNIFER",,,0
359,"DOWLING, RICHARD",,,0
360,"DOWNES, TERRENCE",,,0
361,"DOWNS, RICHARD",,,0
362,"DOYLE, JACALYN",SERGEANT OF POLICE,025,0
363,"DOYLE, STEVEN",SERGEANT OF POLICE,020,0
364,"DRAPIEWSKI, JOHN",,,0
365,"DRAYTON, KENNETH",,,0
366,"DREW JR, ALFONZO",,,0
367,"DUBIEL, ROBERT",,,0
368,"DUFFIN, KEVIN",,,0
369,"DUFFY, MICHAEL",,,0
370,"DUIGNAN, MARK",,,2
371,"DUNN, BRENDA",,,0
372,"DUNN, WILLIAM",,,0
373,"DURHAM, SHENETTA",,,0
374,"DURST, DANIEL",SERGEANT OF POLICE,015,0
375,"EASTERDAY, DARREN",,,0
376,"EBERLIN, PATRICK",,,0
377,"EDELING, TIMOTHY",,,1
378,"EDWARDS, DONALD",POLICE OFFICER,121,0
379,"EGAN, RALPH",SERGEANT OF POLICE,192,0
380,"ELIZONDO, XAVIER",SERGEANT OF POLICE,003,0
381,"ELKINS, ERIC",,,0
382,"ELLISON, JACQUELIN",,,0
383,"ELLMAN, CHRISTINE",,,1
384,"ENAULT, JOHN",,,0
385,"ENGLISH, ANTHONY",,,0
386,"ENGSTROM, MARGARET",,,0
387,"ENRIQUEZ, JESUS",SERGEANT OF POLICE,011,0
388,"ERBACCI, RICCARDO",,,0
389,"ERBACHER, KYLE",,,0
390,"ERNST, RAYMOND",,,0
391,"ESCALANTE, EDUARDO",SERGEANT OF POLICE,015,0
392,"ESCAMILLA, ANTHONY",,,0
393,"EVANS, GLENN",,,0
394,"EVITT, JAMES",SERGEANT OF POLICE,001,0
395,"FAGAN, SUSAN",SERGEANT OF POLICE,411,0
396,"FAKUADE, JOSEPH",,,0
397,"FENNER, NAKIA",SERGEANT OF POLICE,121,0
398,"FERRARO, JOSEPH",SERGEANT OF POLICE,010,0
399,"FERRER, CARLOS",SERGEANT OF POLICE,007,0
400,"FERRER, RAMON",SERGEANT OF POLICE,010,0
401,"FICHT, LEONARD",,,1
402,"FICO, CHRISTINA",,,0
403,"FIDLER, BRENT",,,0
404,"FIEDLER, JAMES",SERGEANT OF POLICE,121,0
405,"FIELDS, RYAN",,,0
406,"FINE, MICHAEL",LIEUTENANT OF POLICE,014,0
407,"FINLEY, ALLEN",,,0
408,"FINNELLY, THOMAS",,,0
409,"FITZGERALD, MICHAEL",,,0
410,"FLAHERTY, THOMAS",,,0
411,"FLANAGAN, THOMAS",,,0
412,"FLANIGAN, KEVIN",,,0
413,"FLECHSIG, MARK",SERGEANT OF POLICE,003,0
414,"FLEISCHHACKER, SHAUN",,,0
415,"FLEMING, BRIAN",,,2
416,"FLEMING, PATRICK",SERGEANT OF POLICE,010,0
417,"FLISK, MARGARET",SERGEANT OF POLICE,009,0
418,"FLISK, TIMOTHY",SERGEANT OF POLICE,018,0
419,"FLORES, GABRIEL",SERGEANT OF POLICE,121,3
420,"FLORES, JORGE",,,0
421,"FLYNN, CHARLES",,,0
422,"FLYNN, JEANETTE",,,0
423,"FOGARTY, LINDA",,,0
424,"FOLEY, LAWRENCE",,,0
425,"FOLINO JR, JOHN",,,0
426,"FORBERG, BRIAN",SERGEANT OF POLICE,212,0
427,"FORGUE, RONALD",,,1
428,"FORREST, MARK",,,0
429,"FORRESTAL, NICHOLAS",,,0
430,"FOSTER, JOHN",,,0
431,"FOWLER, JENNIFER",,,0
432,"FOWLER, KENNETH",SERGEANT OF POLICE,393,0
433,"FOWLER, NAJMA",,,0
434,"FOX, DAVID",,,1
435,"FOX, THERESA",,,1
436,"FRANCIS, JOHN",,,0
437,"FRANKO, LINDA",INVESTIGATOR 2 IPRA,113,0
438,"FRANKO, STEPHEN",SERGEANT OF POLICE,008,0
439,"FRAUSTO, JACQUELYN",,,0
440,"FREEMAN, SCOTT",SERGEANT OF POLICE,189,0
441,"FREITAG, THOMAS",,,0
442,"GAAL, CHRISTIAN",,,0
443,"GABLIN, ROBERT",,,0
444,"GADE JR, LAWRENCE",,,0
445,"GALAN, ARMANDO",,,0
446,"GALE, JEFFERY",,,0
447,"GALICH, COLLEEN",,,2
448,"GALINDO, MARGARITA",,,1
449,"GALLAGHER, DANIEL",,,0
450,"GALLAGHER, MICHAEL",SERGEANT OF POLICE,011,1
451,"GALLAGHER, PATRICIA",,,1
452,"GANDY JR, CLINTON",,,0
453,"GANDY, CLINTON",,,0
454,"GARCIA, FERNANDO",,,0
455,"GARCIA, JERRY",,,0
456,"GARCIA, SALVADOR",,,0
457,"GARDNER, RODERICK",,,1
458,"GARGUL, JOHN",,,0
459,"GARRIDO III, JOHN",LIEUTENANT OF POLICE,016,1
460,"GARRITY, DANIEL",SERGEANT OF POLICE,019,0
461,"GARTNER, JOHN",SERGEANT OF POLICE,011,0
462,"GARVEY, MICHAEL",,,0
463,"GAVIN, JAMES",,,0
464,"GAYTAN, LUIS",SERGEANT OF POLICE,024,0
465,"GENTILE, WILLIAM",,,0
466,"GEORGAS, SPIRO",,,0
467,"GEORGE, MARK",,,0
468,"GIAMBRONE, JOSEPH",,,0
469,"GIBBONS, DAWN",,,0
470,"GIBBONS, JOHN",,,0
471,"GIBSON, WOODIE",,,0
472,"GIGLIO, ROBERT",SERGEANT OF POLICE,007,0
473,"GILFILLAN, GREGORY",SERGEANT OF POLICE,016,2
474,"GILIBERTO, MATTHEW",,,0
475,"GILL, PHYLLIS",,,0
476,"GILLESPIE, PATRICK",LIEUTENANT OF POLICE,005,0
477,"GILLILAND, TIMOTHY",SERGEANT OF POLICE,006,0
478,"GILTMIER, BETH",LIEUTENANT OF POLICE,010,0
479,"GIUDICE, THOMAS",,,0
480,"GLATZ, ELIZABETH",,,0
481,"GLINSKI, SEAN",,,0
482,"GLOVER, KEVIN",,,0
483,"GLYNN, CHARLES",,,0
484,"GLYNN, MICHAEL",,,0
485,"GLYNN, THOMAS",SERGEANT OF POLICE,008,0
486,"GODSEL, DANIEL",,,0
487,"GOLD, DEBORAH",,,0
488,"GOLDSMITH, FLOYD",,,0
489,"GOLDSTON, MICHAEL",INVESTIGATOR 3 IPRA,113,3
490,"GOLOSINSKI, MARK",,,0
491,"GONZALES, LINDA",SERGEANT OF POLICE,019,1
492,"GONZALEZ, AUGUSTINA",,,0
493,"GONZALEZ, COLLEEN",,,0
494,"GONZALEZ, LINDA",,,0
495,"GONZALEZ, LUIS",SERGEANT OF POLICE,015,0
496,"GONZALEZ, RICHARD",SERGEANT OF POLICE,012,0
497,"GONZALEZ, ROBERTO",,,0
498,"GOODE III, ROBERT",,,0
499,"GOODWIN, JEANNE",INVESTIGATOR 2 IPRA,113,6
500,"GOPEZ, FREDERICH",,,0
501,"GORMAN, TIFFANY",,,0
502,"GRACIA, SHAUNTAI",,,0
503,"GRAHAM, JOHN",,,0
504,"GRANADO, DAVID",,,0
505,"GRANIAS, GEORGE",SERGEANT OF POLICE,011,0
