08K,DAMAGE/TRESPASSING PROPERTY,,08K,Damage / Trespassing To Property
08M,OTHER FELONY,,08M,Other Felony
08N,MISCELLANEOUS,,08N,Conspiracy To Commit A Crime
09A,ALTERCATION/DISTURBANCE - DOMESTIC,,09A,Altercation / Disturbance - Other
09B,ALTERCATION/DISTURBANCE - NEIGHBOR,,09B,Altercation / Disturbance - Neighbor
09C,ALTERCATION/DISTURBANCE - TRAFFIC,,09C,Altercation / Disturbance - Traffic
09D,TRAFFIC VIOLATION (OTHER THAN D.U.I.),,09D,Traffic Violations (Other Than D.U.I.)
09E,MISDEMEANOR ARREST,,09E,Misdemeanor Arrest
09F,SEXUAL MISCONDUCT,,09F,Sexual Misconduct
09G,ABUSE OF AUTHORITY,,09G,Abuse Of Authority
09H,JUDICIAL PROCESS/DIRECTIVE - CONTEMPT,,09H,Judicial Process/Directive - Contempt
09J,MISCELLANEOUS,,09J,Association With Felon
09K,INDEBTEDNESS TO CITY,,09K,Indebtedness To City
09L,DRIVER'S LICENSE REVOKED/SUSPENDED,,09L,Drivers License - Revoked / Suspended
10A,ABSENT WITHOUT PERMISSION,,10A,Absent Without Permission
10B,MEDICAL ROLL,,10B,Seat Belts
10C,COMPENSATORY TIME,,10C,Compensatory Time
10D,COMMUNICATION OPERATIONS PROCEDURES,,10D,Slow / No Response
10E,SECONDARY/SPECIAL EMPLOYMENT,,10E,Secondary/Special Employment
10F,COURT IRREGULARITIES,,10F,Court Attendance Irregularities
10H,"LEAVING ASSIGNMENT (DISTRICT, BEAT, SECTOR, COURT)",,10H,"Leaving Assignment (District, Beat, Sector, Court)"
10J,NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,,10J,Neglect Of Duty
10K,LATE - ROLL CALL/ASSIGNMENT/COURT,,10K,Late - Roll Call / Assignment / Court
10L,WEAPON/AMMUNITION/UNIFORM DEVIATION,,10L,Weapon / Ammunition
10M,INSUBORDINATION,,10M,Insubordination
10N,LUNCH/PERSONAL VIOLATIONS,,10N,Lunch / Personal Violations
10P,MISUSE OF DEPARTMENT EQUIPMENT/SUPPLIES,,10P,Misuse Of Department Equipment / Supplies
10Q,MISUSE DEPARTMENT RECORDS,,10Q,Misuse Of Department Records
10R,RESIDENCY,,10R,Residency
10S,SEXUAL HARRASSMENT,,10S,Eeo Investigations
10T,REPORTS - FAILED TO SUBMIT/IMPROPER,,10T,Reports
10U,INADEQUATE/FAILURE TO PROVIDE SERVICE,,10U,Inadequate / Failure To Provide Service
10V,INVENTORY PROCEDURES,,10V,Inventory Procedures
10W,VEHICLE LICENSING - CITY,,10W,Traffic Pursuit
10X,VEHICLE LICENSING - STATE,,10X,Vehicle Licensing - State
10Z,MISCELLANEOUS,,10Z,Miscellaneous
12A,"PROPER ACTION, INITIATE",,12A,Initiate Proper Action
12B,PROPER DIRECTION - SUBORDINATE,,12B,Properly Direct Subordinate
12C,PROPER ACTION REVIEW/INSPECT - SUBORDINATE,,12C,Properly Review / Inspect Subordinate
12D,FAIL TO OBTAIN A COMPLAINT REGISTER NUMBER,,12D,Fail To Obtain A Complaint Register Number
12E,IMPROPER/INADEQUATE INVESTIGATION,,12E,Conduct An Improper / Inadequate Investigation
12F,MISCELLANEOUS,,12F,Failure To Ensure - Civil Rights
14A,STATE CIVIL SUIT,,14A,State Civil Suit
14B,FEDERAL CIVIL SUIT,,14B,Federal Civil Suit
15A,USE/ABUSE DRUGS/CONTR. SUBSTANCE - ON DUTY,,15A,Use / Abuse Drugs / Controlled Substance - On Duty
15B,USE/ABUSE DRUGS/CONTR. SUBSTANCE - OFF DUTY,,15B,Use / Abuse Drugs / Controlled Substance - Off Duty
15C,"D.U.I., DRUGS/ CONTR. SUB. - ON DUTY",,15C,"D.U.I., Drugs / Controlled Substance - On Duty"
15D,"D.U.I., DRUGS/ CONTR. SUB. - OFF DUTY",,15D,"D.U.I., Drugs / Controlled Substance - Off Duty"
15H,POSITIVE DRUG SCREEN - OTHER PHYSICAL EXAM,,15H,Positive Drug Screen - Other Physical Exam
15K,MISCELLANEOUS,,15K,Just Cause
